Username,Tweet,Date posted,Label
@fudaishii,i'm genuinely going to attempt tonight i can't do this anymore i can't handle all this stress i wish i was never born bro,9/11/24,1
@yourdystiny,"Becoming less reactive is a huge part of growth & decreasing stress. If you let everything get you worked up, you’ll damage your mind, body & spirit.",9/8/24,0
@ocenhxu,me ??? tired ??? stressed ??? exhausted ??? i wanna cry ??? yes.,9/8/24,1
@ifeelgoodto,"skipping meals, irregular sleeping habits, overthinking, stress, tired and drained. that's me, that's my everyday life",9/10/24,1
@ysuckme,"you deserve to be happy. not confused, not hurt, not stressed, just happy.",9/8/24,0
@jaqueilon,i never been so nonchalant.. i just refuse to stress myself out,9/4/24,0
@hell_line0,"men are turned off by stress, while women are turned off by inconsistency,however, if he's consistent, she'll never have a reason to stress him..",9/9/24,0
@anxietymsgs,"i'm tired , i'm stress , i'm hurt , but im fine",9/5/24,0
@lowkeyalbert,"busy days are actually the best. sure, you might be tired and stressed, but at least you weren't overthinking and feeling down all day.",9/4/24,0
@ysuckme,"as long as you know your intentions are pure, never stress yourself about anything or anyone. you have to trust that you will always end up being where you’re meant to be & that it’s never your loss respectfully",9/11/24,0
@soidoona,"when i’m crying because of stress, then it turns into crying over family, then crying over my body, and eventually crying about my ENTIRE LIFEEEEE",9/2/24,1
@Fact,"Sleeping is a cure to forget about pain, problems, stress and everything for a while.",9/8/24,0
@Fergyonce,He was stressed😭,9/11/24,0
@NvC_JmS_DN,"Kirk: Yeah, it is nice to not have loss, stress, or how I look weighing on my mind for once.",9/11/24,0
@aveinterrupted,i was really stressed out and i thought about him and i got a reminder to get in the bath,9/11/24,0
@TwistedTc,"Yes, much better off tbh. Got a fat raise this month, rent is down after moving to a better spot, car is paid off and debt is almost gone. I was struggling during the covid years. There was no work coming in so was super stressed about losing my job.",9/11/24,0
@karunpal,"Introverts hate stress. If you lower their vibe, you're out. They don't care who you are. They're empaths. They feel everything. They can read people like a book. They're kind and caring and forgiving. But once they've had it, trust me, they'll drop you like you never existed.",7/4/24,0
@vxylily,september smells like more academic stress,9/1/24,0
@TheFliestPlane,"The older I get, the more I realize routines make life so much easier. Make a schedule and stick to it and watch how much better you feel and less stressed you are.",9/9/24,0
@VirgoTerms,#Virgos can stress out easily. Sometimes it's the little things that create major stress.,9/10/24,0
@marklindesr,She seems uncomfortably stressed out.,9/11/24,0
@ForeverCami__,My man took me out of survival mode and into my relaxed soft girl era. The things I used to worry about and stress over….he took that weight up off my shoulders. 🤍,10/20/23,0
@PaulKagame,After this conversation no stress at all !!!😁😁😍😍,2/24/23,0
@txelz,"Same. I was like, I’m out for the night. Can’t take any more stress",9/11/24,0
@daisaej,sorry I’m stressed😓,9/11/24,0
@ventaholic89,Whose great idea was it to have the debate late at night? I’m too stressed and riled up to go to bed now,9/11/24,0
@redDesertweirdo,"lmaooo i’m so glad i’m not watching this debate, everyone seems stressed as FUUUCK",9/11/24,0
@matchabrews,got so stressed over a debate wow I have a headache,9/11/24,0
@RZS96,"None of you bitches are attractive in reality you’re all just temptation. I might like that but you’ll never be worth any amount of stress whatsoever. Very happy to be at the spot I’m in. Time is on my side, yes it is!",9/11/24,0
@ilovezoess,Ion stress about shit life FUCKING GOES ON,9/11/24,0
@Kuleana1776,"That was my impression. She was relaxed when asked directly, then got stressed when she needed to respond off the cuff. Remember, she wanted notes. We KNOW she got the questions.",9/11/24,0
@RedPandaMan6897,I'm sorry you're feeling stressed. Rest well Pistachio.🌸🩵,9/11/24,0
@Three2001,"OMG. No stress here, FFS.",9/11/24,0
@soupslxt,Bro i JUST started mentally easing up about financial stress only to get out of a horrible shift to a flat fucking tire. What the FUCK man,9/11/24,0
@gabbott03,"All good, i respect your ability to converse with me and yes the stress is real!!",9/11/24,0
@Splash_Here,Hugs & forehead kisses take all the stress away,9/11/24,0
@ChrisCastilian,All that stress for nothing. She had it under control at the handshake.,9/11/24,0
@JBTwinCities,9 years of stress and hating to see/hear him.,9/11/24,1
@b1tch_t1tzz,i stress chew....and i ate the inside of my lip,9/11/24,0
@mrmenger,He could have stressed that much more.,9/11/24,0
@tosports13,world cup qualifiers have me sooo stressed can’t believe there are 8 matches left omg,9/11/24,0
@BTCHRVNTY,// ACK sorry for the lack of . long replies and stuff btw I’ve just been really tired and stressed lately,11/8/24,0
@MothMonsterManG,"Good lord. I already know I'm down two people on my team for tomorrow, so there's no way I can finish watching this game tonight without engaging in unreasonable stress and potential sleeplessness. Fuuuck Thursday Night Football. Goodnight!",11/8/24,0
@gwuapretired,Dont stress a bitch that has no future or nothing going for themelevs bitch waiting for a handout thats not going to come from the person she wants,11/8/24,0
@realbabyxpluto,I can’t eat I’m so stressed,11/8/24,1
@FrenchhToastedd,And then this causes more stress to try and figure out wtf is going on in my brain and body,11/8/24,0
@WilliamMordeca1,Thanks to all the stress from elections I finally broke down and asked my Dr for something to help me calm down..... fingers crossed it helps,11/8/24,1
"@allmy2dads
",im tired of working on myself,11/21/41,1
@justniniworld,uni has fucked my head up so bad now I'm stress even on the vacation,11/8/24,1
@BonnieC247,"Me too.... When depressed, stressed in any kind of situation where I feel not me, appetite goes down, recently I have not been me since Jan, and lost 27 pounds.",11/8/24,1
@lilyNJDevils,this game suddenly became so much more agressive and im so fucking stressed,11/8/24,0
@s0ymensa,"i’m stressed i’m sad i’m annoyed, fuck you launch day.",11/8/24,1
@nbot5000s,Same. I’m outrageously stressed about it. More so than my midterm next week lol,11/8/24,1
@brennanwn2,Don’t know how I can handle this stress?,11/8/24,0
@movingalonglol,election stress so bad i have a new flare up patch of psoriasis,11/8/24,1
@putingrice,"""you're pretty lowkey"" yeah lowkey suicidal",9/2/24,1
@ocenpleb,"it's not attention seeking to speak up about it, it's not selfish to do so, and it doesn't make you weak. the ability to recognize you have an issue and attempt to get help for it is the strongest thing you can do. and you're not selfish for being suicidal.",9/11/24,0
@meowpioids,I feel like my friends and family will lose me to suicide,11/20/24,1
"@SoupySpam
",I made a suicide pact with my friend in elementary school that when we got our licenses we would crash our cars head on into each other for a double suicide,11/20/24,1
"@user0000O0
",“how are you so strong” girl there’s a suicide note in my notes app,11/13/24,1
@DomLeeScott,Suicidal empathy.,9/11/24,0
@_kittykillj0y,??? im suicidal and rn im thinking of writing an ii au,9/11/24,1
@Tamarinnie,girl you know damn well you’re suicidal after their disbandment,9/11/24,0
@drjoesDIYhealth,Weight loss: Using drugs like Ozempic linked to suicidal ideation,9/11/24,0
@MindBodySoleUK,"Men cry. Men break down. Men have suicidal thoughts. Men die by suicide. Men suffer with mental illness. There is no such thing as ‘manning up’. Ask your mate if he’s ok, ask twice and ask three times. You don’t have to know how to help, you just need to listen.",9/11/24,0
@bolivianbruja,god i’ve been suicidal since like as far back as i can remember? and life is probably gonna mock me and make me live til 95 or something lol,9/11/24,1
@SallyAnnely,"It may have been a genuine concern for your welfare, and tired rather than suicidal may have been the gentler approach. Unless he asked in a creepy manner I’d have just replied “shit day, but thanks for asking” How many depressed people have been helped by concern of a stranger?",9/11/24,0
@toroc4t,i was suicidal,9/11/24,0
@christianm1988,"I've received a letter from the DWP, after mandatory reconsideration for PIP, saying that I do not qualify. I'm already struggling financially and I've been suicidal for several days now and this has pushed me over the edge.",9/11/24,1
@CliqueTimes,Shocking!! This state records highest number of suicidal cases in India Exclusive by Clique Times. Link: https://cliquetimes.com/state-records-highest-number-of-suicidal-cases/…,9/11/24,0
@Keekaa386056,"It is a form of suicidal piousness.Sanctimony & self righteousness that is virus like, parasitical. Weird.Honestly, I expect people like that are getting off on their piousness. Like infected with a toxoplasmosis like thing making everything just fine. Nothing wrong at all.",9/11/24,0
@ppkmbot,suicidal ideation // What's even the point of me staying alive? There's nothing for me to look forward to. Everything just feels so unattainable.,9/11/24,1
@bigolefat,"Well if he suicidal, and death is what he really wants, each slap gets u closer to it right? So maybe the slaps made him realize he probably really didnt wanna die after all whether a cop or ordinary citizen he probably just saved his life!",9/11/24,0
@user22160001,"Oftentimes there's suicidal behind non suicidal, but we just know how to survive. That's the difference between me and you",9/11/24,0
@UTDKillo,It's a little more complex than that. I'm on antidepressants because giving up alcohol made me suicidal and it's help me balance my brain more in terms of suffering with clinical depression that I never even knew I had before last year. I go to AA & gym is my addiction now. Never looking back now.,9/11/24,0
@valfreyha,World doesnt fucking revolve around you— around us suicidal people. As much as it sounds painful thats just how reality is.,9/11/24,1
@thereallme8,"By the time the members were out, the case became a nightmare. And also, since you love mentioning 2011, YHS himself said that he regretted re-signing bb when he saw the 2011 scandals  Oh and if it makes you feel better, Dae was suicidal at the time",9/11/24,0
@gpcusani,"I am looking forward to read the article, because I have no willing to watch the debate myself and getting suicidal!",9/11/24,0
@draevans,A family we know has an autistic L1. They struggled for years to get support despite L1 being suicidal at times. They had to “abandon “ their L1 in A&E before any meaningful help was given. Why is it so hard?,9/11/24,0
@jay_burch213938,"I agree. Also all the shooters were on anti-depressants. They cause homicidal and suicidal impuses. Big Pharma has 80% of USA on meds. Veterans commit suicide, regular people,parents,its never linked to medical. Take away meds not guns",9/11/24,0
@STEFANIANIGHT,The worst part about being incredibly mentally ill and broken but not alone is having suicidal ideation often but too many people in your life care about you and you have responsibilities to them so u keep trucking just making the occasional joke out of it,9/11/24,1
@Samvritah,"Listen man, I know suicidal tendencies. We can help. Please.",9/11/24,0
@ItsSageApple,"i was once suicidal myself, yet now not in a luxury to be in a stable mood either. however, if we burden others to say the 'right things', especially those who are'nt the cause of our issue, I suggest to just ignore or say, ""no, thank you. I want to be alone,""",9/11/24,0
@bertiewilber,Suicidal empathy I think that’s called.,9/11/24,0
@VoidSYR3N,Suicidal and in pain and wanna curl up in bed and cry and be brought pasta and cheese and to curl up with a hot pack in my lap and gods I wanna cry so much,9/11/24,1
@MikeMannillo,Because Opie was secretly suicidal?,9/11/24,0
@thestevehiggins,"I'm not suicidal,but I do understand why people shoot themselves in the head. They are trying to quiet all these fucking thoughts!",9/11/24,0
@ThirlDad,"How many parents, grandparents are you driving 2 suicide because they can no longer cope? How many bairns are going to be left feeling guilty/suicidal because they, wrongly, think they're a burden to those same parents?",9/11/24,0
@DrGW0,Arge you committed to this @wesstreeting? I have written to you regarding an NHS manager bullying suicidal staff.,9/11/24,0
@krizslee,"Can never be sure if someone online is actually who or what they say they are, but if you're actually depressed and suicidal please listen to this song. It helps lift my spirits. It's so simple yet so powerful. I really struggle with depression and adhd.",9/11/24,0
@The_Reviewist,"I’m afraid I simply don’t agree. People being upset by me posting that tweet are not my problem. They’ll be just as upset if and when an official cancellation comes down the line. That doesn’t make me the dumping ground for their suicidal ideation, or “I’m going to vomit”.",9/11/24,0
@katieflintt,"The man said he was suicidal and you’re saying he’s a forest fan and should just “be happy” because we got promoted. It’s not that simple. Football isn’t the only thing in life, people have real life problems",9/11/24,0
@WHAIafrica,"fostering a culture of compassion and support. By changing negative conception and promoting open dialogue, we can create a safer and more supportive environment for those struggling with suicidal thoughts. It's essential to remember that suicide is a complex issue with",9/11/24,0
@sunflowerb28301,"I'm gobsmacked. I've heard many awful stories about the failures of CAHMS, but to imply suicidal ideation is just a part of autism is pretty horrific.",9/11/24,0
@_eeivo,early twenties intermingled with suicidal thoughts is oddly soothing,9/11/24,0
@Somenoire,"As an experienced of being suicidal for years, I would like to brag myself that these days I even become more suicidaler. May I follow you?",9/11/24,1
@mthhraine,uni makes me suicidal like seriously,9/11/04,1
@S__itmeanshope,"True. Fatherlessness is one of the most damaging things to people and society, and we live in a culture that is attacking, degrading, and demonizing men on an insane level. Just tonight ALONE I had to battle suicidal thoughts and loneliness, but as a man I have no one to call.",11/11/24,1
@PR3TTYSS1CK,Everything is making me suicidal rn,11/11/24,1
