Username,Tweet,Date posted,Label
@sethpuertoluna,"In the Philippines, when someone dies, we say ""Pahinga ka na"", which is telling the dead directly, ""you can rest now."", doesn't matter how they died, Basta, pahinga ka na. Sickness, old age, suicide.Weariness and Filipino bones are old friends.",1/26/19,0
@new00z1,"okay, pwedeng stressed sa pagkayod pero ghorl",9/11/24,0
@callmegav_,"Racing heart, profuse sweating, difficulty breathing, tingly/numb hands - panic attack is crippling me. Magdadalawang oras na.",9/11/24,1
@𝐣𝐚𝐢 ˙𐃷˙ ˙˚°✰,So ano feeling na you have a picture sa cellphone ni Junkyu? 🙇🏻‍♀️  https://t.co/zygW8j3Gia,09/09/24,0
@reidyforlife,grabeeeeee my bb juanda  kaya pala she chosed to stay with riego. her trauma after that red scene. she saw everyone she love dies in just one day.,9/11/24,0
@alwaysVIRGO,"Ilang araw na masama pakiramdam ko.

GOOD VIBES KAIREN",09/09/24,0
@The 700 Club Asia,"Dear Lord, nakakaramdam na po ako ng pagod. Hindi ko alam kung ano ang dapat gawin minsan. Pakiramdam ko'y ginawa ko na ang lahat pero parang hindi pa rin ito enough. Alam ko po na sa aking kahinaan, Kayo ang aking kalakasan. Sa bawat failures and disappointments ko sa buhay,",09/13/24,1
@Carl_Barot22,I'm tired sa pakiramdam ko gusto ko na magsimula at enjoyin buhay ko,11/7/24,1
@kittenmarkly,pls next month kaagad miss ko na trauma dumping natin sa food hall  HAHAHAHAHAHAHAHAHA,9/11/24,0
@EstelloroK,Slayed kuya dong para ka ngang psychologist sabi ni therese 😂😂😂😂🔥🔥🔥,9/11/24,0
@chinito_ethan,Grabi ka sana lang talaga mawala na yung stigma na nararamdaman natin,9/12/24,0
@tractrix10,May Depersonalization-derealization disorder ba si baby emmed?,9/12/24,0
@エラelai🌚,"just finished taking a shower dahil ina-allergy ako huhu busit. anyways, sarap sa pakiramdam nung lamig ng waterrr",09/04/24,0
@ilomilo_ilomilo,"im having a mental breakdown, literal na start pa lang  😖",9/13/24,1
@zchastine_,"I am this close 🤏🏻 to having a mental breakdown pero nao-overpower ng panic ko, nawalan ako ng time umiyak. HAHAHAHAHAHAHAHAHAHA",9/13/24,1
@macjucm,The blimps are too frequent. I need a psychiatrist. I need to get this check. But I don't have money. Living is too expensive. Sobrang hirap naman mabuhay ng normal.,9/10/24,1
@greathuzzahh,may alam ba kayong free consultation for mental health?? i think i need a psychiatrist :((,8/25/24,0
@_shanebau,Lala ng imposter syndrome ko lately,9/14/24,1
@dre,"pwede mo ba akong lambingin, i dont feel so good",09/05/24,0
@meikkiato,i need therapy na ata,9/15/24,0
@sanaallbaliw,hirap pala masama na nga pakiramdam mo tapos may ganito pang atmosphere hahahah,11/6/24,0
@kmpcjrdo,"Hay. Gusto ko magmura at magsabi ng masasamang words pero sabi ni psych kez, hinga malalim at wag magpakain sa stresamae.",11/6/24,0
@MicoMasangcay28,Grabe I feel the anxiety... Impending doom for the next 3 days 😭😭😭,9/15/24,1
@tomitusauce,need ko ng mental note to turn off my active status on messenger kasi it blows up like shit and my anxiety cant handle new messages 😭,9/15/24,1
