Username,Tweet,Date posted,Label
@Maymay,Nung bata ako may mga ganito akong notebook na puro artista ang mukha tapos nasa isip “ano kaya pakiramdam na andyan yun mukha ko? “ Pero ngayon di ko na kailangan isipin yun.. dahil tinupad nyo ang pakiramdam na yun. Maraming salamat po Sa inyong lahat. https://t.co/DySM14tqUs,05/30/19,0
@alwaysVIRGO,"Di muna masyado makapag dutdut ngayon sobrang sama talaga pakiramdam ko, pero mag-aambag parin

KAIREN TEENTASTIC https://t.co/IOYRfUt0sD",09/10/24,0
@𝐣𝐚𝐢 ˙𐃷˙ ˙˚°✰,So anong pakiramdam na may picture kayo sa cellphone ni Junkyu? 🙇🏻‍♀️  https://t.co/zygW8j3Gia,09/09/24,0
@🌷 Turon Ng SM 🌷,"panay siksik, alam naman ng masama pakiramdam ng daddy 🥴🤧😷🤒 https://t.co/UtRYLGdCms",09/10/24,0
@ₐₛₜᵣₒ,Eto yung pinaka ayaw kong pakiramdam ngayon pero wala may mood talaga tayong gusto lang natin magpahinga,09/05/24,1
@Adie,"anong pakiramdam 
ma-awitan ng kundiman?",10/28/21,0
@エラelai🌚,"kakatapos ko lang mag shower dahil ina-allergy ako huhu busit. anyways, sarap sa pakiramdam nung lamig ng waterrr",09/04/24,0
@Breath with e (kasi yown)🌭🍓🐔🌽🍢,"Magandang umaga 🌞 ready na stream ng kalakal mv...ay bot lang pala to 🤭 sama pa din ng pakiramdam pero keri pa naman 😁

@SB19Official #SB19 
#KALAKAL https://t.co/Q7Rgi812Ca",09/10/24,0
@PABFINITY 🐺 🚦∞,"Umabot ka na ba sa punto ng buhay mo kung saan pakiramdam mo walang-wala na? ‘Yung mga pagkakataong akala mo ay nag-iisa ka? 

‘Wag nating hayaang lamunin tayo ng sarili nating kumunoy. Patuloy lang sa paglangoy. 🥹

H3RE COMES ALON
@imszmc #PABLO
#PABLOAlonAlbum
#KUMUNOY https://t.co/3MuPQO9l16",09/10/24,0
@Imani,Overkill. Pakiramdam ko ginagago na ako. Yung TAMA lang po ang hiling ko. https://t.co/PLgwkLhpT1,09/07/24,0
@dre,"pwede mo ba akong lambingin, ang sama kasi ng pakiramdam ko",09/05/24,0
@JOYCE SALVERON,"#WWDeception 

Bea Alonzo #WidowsWar
Nakadaming sampal  sayo Peter, kumusta pala pakiramdam ng nasampal ni Aurora? https://t.co/lSJ7B49tyC",09/06/24,0
@𝗬𝗲𝘀! 💙A⁻ᵗᵉᵃᵐ,"Habang si Hiroshi naman ang di mapalagay heto si Eduardo paskong pasko na ang pakiramdam salamat sa ayuda hahahaha!!!!
#PulangArawPagtakas 
ALDENxPAEp29 HappyEduardo 
#ALDENRichards @aldenrichards02 https://t.co/0PItKDP0Bo",09/05/24,0
@Ka Toper 🇮🇹,"Sarap sa pakiramdam na habang binabanggit mo sa iyong panalangin na ""Pagod na po ko."" tapos mararamdaman mo yung pagyakap ng Ama.",09/12/24,0
